                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.31569,                0.43464,                0.07915,                0.74849,                0.65859,                0.73189,                0.60504,                0.14449,                0.50942,                0.05675,                0.00307,                0.00307,                0.00307
                     38,                0.29846,                0.42545,                0.07725,                0.75759,                0.69374,                0.70801,                0.58705,                0.14264,                0.50621,                0.05648,               0.002872,               0.002872,               0.002872
                     39,                0.31606,                0.43468,                0.07976,                0.77975,                0.72424,                0.72602,                0.60003,                0.14326,                0.50706,                0.05666,               0.002674,               0.002674,               0.002674
                     40,                 0.3072,                0.42799,                0.07953,                  0.773,                0.65604,                0.72104,                0.59686,                0.14325,                 0.5074,                0.05679,               0.002476,               0.002476,               0.002476
                     41,                0.30162,                0.40266,                0.08854,                 0.7708,                0.66144,                0.72408,                0.59656,                0.14148,                0.50912,                0.05602,               0.002278,               0.002278,               0.002278
                     42,                0.36918,                0.43147,                0.10801,                0.62364,                0.82825,                0.72365,                0.60523,                0.14024,                 0.5063,                0.05547,                0.00208,                0.00208,                0.00208
                     43,                0.39762,                0.44288,                0.12843,                0.76065,                0.70996,                0.72381,                0.59707,                0.14201,                0.50353,                0.05544,               0.001882,               0.001882,               0.001882
                     44,                 0.2869,                0.36904,                0.08416,                0.64519,                0.82359,                0.72109,                0.59295,                0.14372,                0.50259,                0.05564,               0.001684,               0.001684,               0.001684
                     45,                0.26545,                  0.356,                0.08167,                0.64425,                0.83058,                0.72145,                0.59389,                0.14385,                 0.5038,                0.05586,               0.001486,               0.001486,               0.001486
                     46,                0.31123,                0.37267,                0.08619,                 0.6443,                0.83008,                0.75262,                0.61184,                0.14137,                0.50382,                0.05596,               0.001288,               0.001288,               0.001288
                     47,                0.41701,                0.39444,                 0.1014,                0.65802,                0.82371,                0.74911,                0.61057,                0.14618,                0.50638,                0.05662,                0.00109,                0.00109,                0.00109
                     48,                0.39483,                0.39202,                0.09955,                0.68623,                0.80856,                 0.7209,                0.58367,                0.15646,                0.51083,                0.05799,               0.000892,               0.000892,               0.000892
                     49,                0.26738,                0.33964,                0.07853,                0.68521,                0.80217,                0.70983,                0.57156,                0.15893,                0.51408,                0.05837,               0.000694,               0.000694,               0.000694
                     50,                0.45597,                 0.3957,                0.10433,                0.68764,                0.80611,                0.71026,                0.57674,                0.15482,                 0.5157,                0.05785,               0.000496,               0.000496,               0.000496
